index,Long,Lat,UTM_X,UTM_Y,status
608,127.0783402,37.5423196,330231.98250529077,4156771.5579631026,2
609,127.0783486,37.5423171,330232.71899978886,4156771.2653905675,2
610,127.0783568,37.542314499999996,330233.4375968671,4156770.962083402,2
611,127.0783647,37.5423116,330234.12900751224,4156770.6260303087,2
612,127.0783725,37.5423085,330234.8111292027,4156770.267965977,2
613,127.07838009999999,37.542305299999995,330235.4753534795,4156769.899167001,2
614,127.0783876,37.542302,330236.1305156572,4156769.519452749,2
615,127.0783948,37.5422984,330236.7584914166,4156769.1069925474,2
616,127.07840189999999,37.5422947,330237.37740507943,4156768.6836170596,2
617,127.07840879999999,37.542290699999995,330237.9779676409,4156768.227314984,2
618,127.07841549999999,37.5422866,330238.56063280185,4156767.760278249,2
619,127.07842199999999,37.5422823,330239.1251737145,4156767.2714108815,2
620,127.07842839999999,37.5422778,330239.6804256907,4156766.7605322553,2
621,127.07843439999999,37.542273099999996,330240.19988279726,4156766.228184244,2
622,127.07844019999999,37.542268199999995,330240.7012156589,4156765.674005592,2
623,127.0784458,37.5422631,330241.1844242764,4156765.097996297,2
624,127.0784511,37.5422578,330241.6406733335,4156764.5003369777,2
625,127.0784561,37.5422525,330242.0704165145,4156763.9032195616,2
626,127.07846079999999,37.542246999999996,330242.4732001268,4156763.284452113,2
627,127.07846529999999,37.5422414,330242.85808633105,4156762.6549499715,2
628,127.07846959999999,37.5422357,330243.22507512255,4156762.014713133,2
629,127.0784735,37.5422296,330243.5558153475,4156761.3308149464,2
630,127.07847729999999,37.5422235,330243.8777203073,4156760.647097399,2
631,127.0784808,37.5422174,330244.17311936774,4156759.9639217346,2
632,127.0784839,37.5422113,330244.4331772001,4156759.281468572,2
633,127.0784867,37.542204999999996,330244.6662754427,4156758.5773653565,2
634,127.0784893,37.5421986,330244.881476247,4156757.8625274287,2
635,127.07849139999999,37.542192,330245.0520468061,4156757.1264006877,2
636,127.0784935,37.5421853,330245.2223905665,4156756.3791779857,2
637,127.0784951,37.5421786,330245.3485577426,4156755.632858396,2
638,127.07849639999999,37.5421717,330245.44776529656,4156754.8648887435,2
639,127.0784973,37.542164799999995,330245.51163157413,4156754.097641579,2
640,127.078498,37.5421577,330245.5573735455,4156753.3085637265,2
641,127.0784984,37.5421506,330245.57660954946,4156752.520027741,2
642,127.07849859999999,37.5421434,330245.5779480669,4156751.7207570323,2
643,127.0784985,37.5421361,330245.55255377066,4156750.910932221,2
644,127.07849829999999,37.5421287,330245.5180973105,4156750.090192069,2
645,127.0784977,37.5421214,330245.4485263621,4156749.2812703657,2
646,127.0784972,37.5421139,330245.38733706716,4156748.4499761113,2
647,127.0784965,37.5421064,330245.30847709917,4156747.6190431025,2
648,127.0784959,37.5420988,330245.2382256198,4156746.7768335068,2
649,127.07849499999999,37.5420912,330245.1414681298,4156745.935165778,2
650,127.0784941,37.5420836,330245.0447106288,4156745.0934980484,2
651,127.07849329999999,37.5420758,330244.95633477764,4156744.229457772,2
652,127.0784927,37.5420679,330244.8854027556,4156743.353960288,2
653,127.078492,37.54206,330244.80563538533,4156742.478643427,2
654,127.07849119999999,37.542052,330244.7168058308,4156741.5924112243,2
655,127.0784894,37.5420358,330244.52102233545,4156739.798116136,2
656,127.07848829999999,37.542027499999996,330244.4050062108,4156738.879137909,2
657,127.0784874,37.5420192,330244.30666075356,4156737.959798441,2
658,127.0784865,37.5420109,330244.20831528236,4156737.0404589726,2
659,127.07848539999999,37.5420026,330244.09229910746,4156736.1214807504,2
660,127.0784844,37.5419944,330243.98534509644,4156735.2134178737,2
661,127.07848329999999,37.541986099999995,330243.8693288866,4156734.2944396557,2
662,127.07848209999999,37.5419779,330243.7447041474,4156733.386738026,2
663,127.07848089999999,37.5419696,330243.61985255196,4156732.467940436,2
664,127.07847969999999,37.5419614,330243.49522777303,4156731.5602388117,2
665,127.0784784,37.5419532,330243.3617676238,4156730.6527178106,2
666,127.07847729999999,37.5419449,330243.24575131916,4156729.733739603,2
667,127.07847609999999,37.5419367,330243.12112648075,4156728.8260379843,2
668,127.07847369999999,37.5419203,330242.87187674467,4156727.010634755,2
669,127.07847149999999,37.541903999999995,330242.6405244793,4156725.205966252,2
670,127.0784704,37.541896,330242.5251885782,4156724.320275949,2
671,127.0784692,37.541888,330242.4010172989,4156723.4347662725,2
672,127.0784681,37.54188,330242.2856813596,4156722.549075973,2
673,127.0784669,37.5418722,330242.16196371755,4156721.6857582307,2
674,127.0784657,37.5418644,330242.03824605653,4156720.8224404883,2
675,127.07846459999999,37.5418567,330241.9235905763,4156719.970038088,2
676,127.0784635,37.5418491,330241.80916191684,4156719.1287316554,2
677,127.07846239999999,37.5418416,330241.69496007863,4156718.2985211895,2
678,127.0784613,37.541834099999996,330241.5807582237,4156717.468310724,2
679,127.07846029999999,37.5418267,330241.4756185559,4156716.6490156027,2
680,127.0784592,37.5418194,330241.3618703452,4156715.8409970696,2
681,127.07845809999999,37.541812199999995,330241.24834895635,4156715.044074502,2
682,127.078457,37.5418051,330241.13505439216,4156714.2582479017,2
683,127.0784561,37.5417981,330241.03965738625,4156713.4831560184,2
684,127.0784539,37.5417839,330240.81306817767,4156711.911502825,2
685,127.07845289999999,37.5417766,330240.7081552436,4156711.103303679,2
686,127.07845189999999,37.5417695,330240.60369597265,4156710.317296461,2
687,127.0784508,37.5417625,330240.49062815314,4156709.542565835,2
688,127.0784497,37.5417553,330240.37710664,4156708.745643282,2
689,127.07844859999999,37.541748,330240.2633582719,4156707.937624766,2
690,127.0784475,37.5417408,330240.1498367267,4156707.140702216,2
691,127.07844639999999,37.5417336,330240.03631516534,4156706.343779668,2
692,127.07844539999999,37.5417262,330239.9311752869,4156705.524484569,2
693,127.0784441,37.5417185,330239.7988487426,4156704.6724434546,2
694,127.0784431,37.5417109,330239.6932551529,4156703.830956429,2
695,127.07844189999999,37.5417032,330239.56976394606,4156702.9787346926,2
696,127.07844069999999,37.541695499999996,330239.44627272256,4156702.126512958,2
697,127.0784396,37.541687599999996,330239.331163185,4156701.2519186726,2
698,127.0784384,37.541679699999996,330239.2072182449,4156700.377505014,2
699,127.0784372,37.541671699999995,330239.0830464456,4156699.4919953933,2
700,127.07843589999999,37.5416636,330238.9498123998,4156698.5955704367,2
701,127.0784346,37.5416555,330238.81657833466,4156697.699145484,2
702,127.07843349999999,37.5416472,330238.7005613409,4156696.7801673505,2
703,127.0784322,37.541638899999995,330238.5668735537,4156695.8615504713,2
704,127.0784309,37.541630399999995,330238.4327320656,4156694.920741669,2
705,127.07842959999999,37.541622,330238.2988173913,4156693.991028831,2
706,127.07842839999999,37.541613399999996,330238.1732844064,4156693.038943441,2
707,127.0784269,37.5416047,330238.0210183845,4156692.076303971,2
708,127.07842559999999,37.541596,330237.88642312144,4156691.1133032497,2
709,127.0784243,37.541587199999995,330237.7516009945,4156690.139206566,2
710,127.07842289999999,37.5415783,330237.6077166061,4156689.1541945473,2
711,127.07842149999999,37.5415694,330237.4638321945,4156688.169182532,2
712,127.07842009999999,37.5415603,330237.3194940748,4156687.161978593,2
713,127.0784187,37.5415512,330237.1751559292,4156686.1547746556,2
714,127.07841719999999,37.5415421,330237.0219823584,4156685.147751348,2
715,127.0784144,37.5415239,330236.73330593586,4156683.1333434875,2
716,127.078413,37.5415148,330236.5889676835,4156682.1261395607,2
717,127.07841169999999,37.541505699999995,330236.4534648111,4156681.1187550086,2
718,127.07841029999999,37.541496599999995,330236.3091265104,4156680.1115510883,2
719,127.078409,37.5414877,330236.1740772744,4156679.126358471,2
720,127.07840759999999,37.5414788,330236.03019260603,4156678.141346483,2
721,127.07840619999999,37.541469899999996,330235.8863079146,4156677.1563344966,2
722,127.0784047,37.5414612,330235.7340414745,4156676.1936950726,2
723,127.0784034,37.5414525,330235.5994458271,4156675.2306943913,2
724,127.078402,37.5414439,330235.4562415889,4156674.278970306,2
725,127.0784006,37.5414355,330235.3134910123,4156673.3494381523,2
726,127.0783993,37.541427,330235.1793489813,4156672.4086294062,2
727,127.07839799999999,37.5414186,330235.0454337689,4156671.4789166283,2
728,127.07839659999999,37.541410299999995,330234.90290996514,4156670.5604804438,2
729,127.07839539999999,37.5414021,330234.7782838127,4156669.6527789687,2
730,127.0783929,37.5413859,330234.5206497181,4156667.8597485805,2
731,127.07839159999999,37.541378,330234.38786861836,4156666.985515632,2
732,127.0783905,37.5413703,330234.2732120247,4156666.133113352,2
733,127.0783893,37.5413626,330234.14971999364,4156665.280891707,2
734,127.0783881,37.5413551,330234.02668163204,4156664.4508619895,2
735,127.0783871,37.541347699999996,330233.9215409431,4156663.6315669776,2
736,127.0783859,37.5413406,330233.799409924,4156662.8459211187,2
737,127.0783848,37.541333699999996,330233.68656799797,4156662.0822865576,2
738,127.07838369999999,37.5413269,330233.5739529033,4156661.329747964,2
739,127.07838269999999,37.5413204,330233.4708537526,4156660.610316631,2
740,127.0783817,37.541314,330233.3679814356,4156659.9019812644,2
741,127.07838059999999,37.5413078,330233.25672736607,4156659.2160184556,2
742,127.0783795,37.5413019,330233.14615381695,4156658.5633435394,2
743,127.0783783,37.5412962,330233.027198516,4156657.9330411837,2
744,127.07837699999999,37.541290599999996,330232.8996346166,4156657.314015423,2
